ID,Nome Empresa,Website,Segmento,Cidade,Estado,Tier,Fonte,Status,LinkedIn,Produtos,Notas,1-10 ICP? Renner,1-10 ICP? Rafael,1-10 ICP? Nelson,Renner_Score,Tier_Val,Segment_Val,Product_Val,Predicted_Score,Scraped_Emails,Scraped_Social_Links
10,BIO ENGENHARIA E INDÚSTRIA DE IMPLANTES ORTOPÉDICOS LTDA,http://bioengenharia.com.br/,Implantes Ortopédicos,,,2,ABIMO,Mapeado,,Instrumentos cirúrgicos; Ortopédicos,,10.0,7.0,10.0,10.0,2,1,1,8.5,,
11,BIOADVANCE INDÚSTRIA E COMÉRCIO DE PRODUTOS ORTPÉDICOS LTDA,www.bioadvance.com.br,Implantes Ortopédicos,,,2,ABIMO,Mapeado,,Ortopédicos,,10.0,7.0,10.0,10.0,2,1,0,8.0,,
15,BIOMET 3I DO BRASIL COMÉRCIO DE AP. MÉDICOS LTDA,www.biomet.com,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Bombas de infusão; Instrumentos cirúrgicos; Suturas cirúrgicas; Artigos e aparelhos para prótese dentária; Brocas para odontologia; Implantes dentais; Instrumentos odontológicos ; Centrifugadores,,10.0,9.0,8.0,10.0,2,1,3,9.5,,
36,ENGIMPLAN ENGENHARIA DE IMPLANTE INDÚSTRIA E COMÉRCIO LTDA,www.engimplan.com.br,Implantes Ortopédicos,,,2,ABIMO,Mapeado,,Instrumentos cirúrgicos; Ortopédicos,,10.0,9.0,10.0,10.0,2,1,1,8.5,,
43,GM DOS REIS INDÚSTRIA E COMÉRCIO LTDA,www.gmreis.com.br,Implantes Ortopédicos,,,2,ABIMO,Mapeado,,Instrumentos cirúrgicos; Ortopédicos,,10.0,7.0,5.0,10.0,2,1,1,8.5,,
56,NeoOrtho,,Implantes Ortopédicos,,,Tier 2,Google,Mapeado,,,,10.0,10.0,10.0,10.0,2,1,0,8.0,,
57,Ortobio,ortobio.ind.br,Implantes Ortopédicos,,,Tier 2,Google,Mapeado,,,,10.0,9.0,10.0,10.0,2,1,0,8.0,,
58,Ortosíntese,ortosintese.com.br,Implantes Ortopédicos,,,Tier 1,Google,Mapeado,,,,10.0,9.0,10.0,10.0,3,1,0,9.0,,
59,Neodent (Straumann),www.straumann.com/neodent,Implantes Odontológicos,,,Tier 1,Google,Mapeado,,,,10.0,10.0,10.0,10.0,3,1,0,9.0,,
109,FGM Dental Products,www.fgm.ind.br,Implantes Odontológicos,Joinville,SC,1,RGO Article,Mapeado,,"Sistema Arcsys - angulação 20°, linha completa implantes",,10.0,10.0,8.0,10.0,3,1,1,9.5,,
110,Neodent Straumann,www.neodent.com.br,Implantes Odontológicos,Curitiba,PR,1,RGO Article,Mapeado,,"Líder Brasil, +1.5M implantes/ano, carga imediata",,10.0,10.0,10.0,10.0,3,1,1,9.5,,
118,Biomecanica,www.biomecanica.com.br,Implantes Ortopédicos,Jaú,SP,1,Website,Mapeado,,"34 anos, 9.000m2, 120 funcionários, 600k itens/ano, 44 países",,10.0,9.0,10.0,10.0,3,1,0,9.0,,
119,NEOORTHO Produtos Ortopédicos,www.neoortho.com.br,Implantes Ortopédicos,Curitiba,PR,1,Website,Mapeado,,"Medartis Group, placas, hastes, parafusos, cages, próteses personalizadas",,10.0,10.0,10.0,10.0,3,1,1,9.5,,
5,ALLIED TITANIUM LTDA - DENTFIX,www.dentfix.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Implantes dentais,,9.0,7.0,8.0,9.0,2,1,1,8.5,,
21,CAPELLI & FABRIS INDUSTRIA E COMERCIO DE PRODUTOS MÉDICOS ODONTOLÓGICOS LTDA - HELSE ULTRASONIC,https://www.helse.odo.br/,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Brocas para odontologia; Instrumentos odontológicos,,9.0,7.0,8.0,9.0,2,1,0,8.0,,
23,CLOROVALE DIAMANTES INDÚSTRIA E COMÉRCIO LTDA,www.cvdvale.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Brocas para odontologia; Instrumentos odontológicos,,9.0,7.0,0.0,9.0,2,1,0,8.0,,
35,EMFILS INDÚSTRIA E COMÉRCIO PRODUTOS ODONTOLÓGICOS LTDA EPP,www.emfils.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Artigos e aparelhos para prótese dentária; Brocas para odontologia; Dentes artificiais; Implantes dentais; Instrumentos odontológicos,,9.0,10.0,10.0,9.0,2,1,2,9.0,,
49,ICONACY ORTHOPEDIC IMPLANTS INDÚSTRIA E COMÉRCIO DE PRODUTOS MÉDICO HOSPITALARES LTDA,www.prosintese.com.br,Implantes Ortopédicos,,,2,ABIMO,Mapeado,,Bombas de infusão; Instrumentos cirúrgicos; Ortopédicos,,9.0,9.0,8.0,9.0,2,1,1,8.5,,
50,IMPLACIL OSSTEM - MATERIAL ODONTOLOGICO S.A.,http://www.implacildebortoli.com.br/,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Artigos e aparelhos para prótese dentária; Implantes dentais; Instrumentos odontológicos,,9.0,7.0,8.0,9.0,2,1,2,9.0,,
51,Biomecânica,www.biomecanica.com.br,Implantes Ortopédicos,Jaú,SP,Tier 1,ABIMO,Mapeado,,,,9.0,7.0,8.0,9.0,3,1,0,9.0,,
62,S.I.N. Implant System,www.sinimplantsystem.com,Implantes Odontológicos,,,Tier 1,Google,Mapeado,,,,9.0,10.0,10.0,9.0,3,1,0,9.0,,
63,Implacil Osstem,implacil.com.br,Implantes Odontológicos,,,Tier 2,Google,Mapeado,,,,9.0,10.0,10.0,9.0,2,1,0,8.0,,
64,Conexão Dental,,Implantes Odontológicos,,,Tier 1,Google,Mapeado,,,,9.0,10.0,10.0,9.0,3,1,0,9.0,,
65,Angelus Dental,angelus.ind.br,Implantes Odontológicos,,,Tier 2,ABIMO,Mapeado,,,,9.0,9.0,8.0,9.0,2,1,0,8.0,,
111,S.I.N. Sistema de Implante,www.sinimplante.com.br,Implantes Odontológicos,,,1,RGO Article,Mapeado,,"Uma das maiores indústrias Brasil, +10 anos mercado",,9.0,10.0,10.0,9.0,3,1,0,9.0,,
114,Kopp Sistemas de Implantes,www.kopp.com.br,Implantes Odontológicos,,,2,RGO Article,Mapeado,,"Pioneira Cone Morse Brasil 2003, Cone Morse Screw",,9.0,9.0,0.0,9.0,2,1,0,8.0,,
115,Implacil De Bortoli,www.implacil.com.br,Implantes Odontológicos,,,1,RGO Article,Mapeado,,"1° implante osseointegrável Brasil 1988, FDA+CE",,9.0,9.0,10.0,9.0,3,1,0,9.0,,
116,Systhex Implantes,www.systhex.com.br,Implantes Odontológicos,Curitiba,PR,2,RGO Article,Mapeado,,"Fundada 2003, linha completa, custo-benefício",,9.0,9.0,10.0,9.0,2,1,0,8.0,,
125,Conexão Sistemas de Prótese,www.conexao.com.br,Implantes Odontológicos,Arujá,SP,1,Market Research,Mapeado,,"Sistemas de prótese, implantes",,9.0,10.0,10.0,9.0,3,1,2,10.0,,
126,Pross Implantes,www.pross.com.br,Implantes Odontológicos,,,2,Market Research,Mapeado,,Implantes dentários,,9.0,10.0,8.0,9.0,2,1,1,8.5,,
1,3R INDÚSTRIA E COMÉRCIO LTDA,www.microdont.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Brocas para odontologia; Gesso para uso odontológico; Instrumentos odontológicos,,8.0,7.0,8.0,8.0,2,1,0,8.0,,
2,A S TECHNOLOGY COMPONENTES ESPECIAIS LTDA ME - TITANIUMFIX,www.titaniumfix.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Artigos e aparelhos para prótese dentária; Brocas para odontologia; Implantes dentais; Materiais de laboratório,,8.0,7.0,8.0,8.0,2,1,2,9.0,,
6,ANGELUS INDÚSTRIA DE PRODUTOS ODONTOLÓGICOS S.A.,www.angelus.ind.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Gel e outros produtos químicos; Máscaras; Seringas; Artigos e aparelhos para prótese dentária; Brocas para odontologia; Cimento para obturação dentária; Limas para odontologia; Materiais de laboratóri,,8.0,7.0,7.0,8.0,2,1,0,8.0,,
13,BIODINÂMICA QUÍMICA E FARMACÊUTICA LTDA,www.biodinamica.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Brocas para odontologia; Ceras para dentistas; Cimento para obturação dentária; Esterilização; Gesso para uso odontológico; Instrumentos odontológicos ; Limas para odontologia; Materiais de laboratóri,,8.0,7.0,8.0,8.0,2,1,0,8.0,,
14,BIOMECÂNICA INDÚSTRIA E COMÉRCIO DE PRODUTOS ORTOPÉDICOS LTDA,www.biomecanica.com.br,Implantes Ortopédicos,,,2,ABIMO,Mapeado,,Instrumentos cirúrgicos; Ortopédicos,,8.0,7.0,,8.0,2,1,1,8.5,,
16,BIONNOVATION PRODUTOS BIOMÉDICOS S.A.,http://www.bionnovation.com.br/,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Artigos e aparelhos para prótese dentária; Brocas para odontologia; Implantes dentais; Instrumentos odontológicos,,8.0,7.0,8.0,8.0,2,1,2,9.0,,
25,CONEXÃO SISTEMAS DE PRÓTESE LTDA,www.conexao.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Instrumentos cirúrgicos; Artigos e aparelhos para prótese dentária; Brocas para odontologia; Implantes dentais; Instrumentos odontológicos ; Materiais de laboratório,,8.0,7.0,8.0,8.0,2,1,3,9.5,,
31,DMR INDUSTRIA E COMÉRCIO DE MATERIAIS ODONTOLÓGICOS LTDA - SINGULAR IMPLANTS,www.singularimplants.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Implantes dentais; Materiais de laboratório,,8.0,7.0,8.0,8.0,2,1,1,8.5,,
33,DSP INDUSTRIAL LTDA EPP,www.dspbiomedical.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Implantes dentais,,8.0,7.0,8.0,8.0,2,1,1,8.5,,
34,EFF DENTAL COMPONENTES LTDA,www.effdental.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Artigos e aparelhos para prótese dentária; Brocas para odontologia; Implantes dentais; Instrumentos odontológicos,,8.0,7.0,8.0,8.0,2,1,2,9.0,,
60,Titaniumfix,titaniumfix.com/br,Implantes Odontológicos,,,Tier 1,Google,Mapeado,,,,8.0,9.0,8.0,8.0,3,1,0,9.0,,
61,Kopp Implantes,koppimplantes.com,Implantes Odontológicos,,,Tier 1,Google,Mapeado,,,,8.0,9.0,8.0,8.0,3,1,0,9.0,,
90,3R Indústria e Comércio - Microdont,www.microdont.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,,,8.0,7.0,8.0,8.0,2,1,0,8.0,,
91,A S Technology - TitaniumFix,www.titaniumfix.com.br,Implantes Odontológicos,,,1,ABIMO,Mapeado,,,,8.0,9.0,8.0,8.0,3,1,0,9.0,,
98,Allied Titanium - Dentfix,www.dentfix.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,,,8.0,10.0,8.0,8.0,2,1,0,8.0,,
117,Dérig Implantes,www.derig.com.br,Implantes Odontológicos,Barueri,SP,2,RGO Article,Mapeado,,"+30 anos existência, 25 anos mercado odontológico",,8.0,9.0,10.0,8.0,2,1,0,8.0,,
169,Dentsply Sirona,,Implantes Odontológicos,Pirassununga,SP,2,ABIMED,Mapeado,,Dentsply Indústria e Comércio Ltda,,8.0,7.0,5.0,8.0,2,1,0,8.0,,
9,BHIO SUPPLY INDÚSTRIA E COMÉRCIO DE EQUIPAMENTOS MÉDICOS LTDA,www.bhiosupply.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Anestesia; Dispositivos / Sistemas de monitoramento / Acessórios; Instrumentos cirúrgicos; Instrumentos odontológicos,,7.0,7.0,5.0,7.0,2,1,1,8.5,,
44,GNATUS PRODUTOS MÉDICOS E ODONTOLÓGICOS LTDA EPP - Q2 TEC,www.gnatus.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Autoclaves; Aparelhos a laser para tratamento odontológico; Implantes dentais; Instrumentos odontológicos ; Sistemas de branqueamento,,6.0,7.0,8.0,6.0,2,1,1,8.5,,
54,OCX Implantes,ocximplantes.com.br,Implantes Ortopédicos,São Paulo,SP,Tier 2,Google,Mapeado,,,,6.0,7.0,8.0,6.0,2,1,0,8.0,,
55,Abimade,abimade.com.br,Implantes Ortopédicos,,,Tier 2,Google,Mapeado,,,,6.0,7.0,5.0,6.0,2,1,0,8.0,,
28,DGTECH INDÚSTRIA E COMÉRCIO LTDA - EDLO,www.edlo.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Endoscópio; Instrumentos cirúrgicos; Instrumentos de eletro cirurgia; Instrumentos odontológicos ; Aparelhos e instrumentais para análises clínicas; Centrifugadores,,5.0,7.0,5.0,5.0,2,1,1,8.5,,
4,ALLIAGE S.A INDÚSTRIAS MÉDICO ODONTOLÓGICA,www.alliage.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Autoclaves; Camas; Esterilizadores; Mesas de exame; Mesas para operação cirúrgica; Aparelhos de raio-x odontológico; Cadeiras de Dentistas; Compressores; Esterilização; Implantes dentais; Instrumentos,,4.0,2.0,5.0,4.0,2,1,1,8.5,,
37,ESSITY SOLUÇÕES MÉDICAS DO BRASIL COMÉRCIO E DISTRIBUIÇÃO LTDA,www.essity.com,Implantes Ortopédicos,,,2,ABIMO,Mapeado,,Curativos; Ortopédicos,,4.0,,2.0,4.0,2,1,0,8.0,,
19,BRAILE BIOMÉDICA INDÚSTRIA E COMÉRCIO REPRESENTAÇÃO LTDA,www.braile.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Aparelhos para eletro diagnóstico; Bombas de infusão; Coletor sanguíneo; Dispositivos / Sistemas de monitoramento / Acessórios; Instrumentos cirúrgicos; Cateter intravenosos; Instrumentos e aparelhos,,3.0,2.0,5.0,3.0,2,1,1,8.5,,
27,DENTSCARE LTDA - FGM PRODUTOS ODONTOLÓGICOS,www.fgm.ind.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Gel e outros produtos químicos; Cimento para obturação dentária; Implantes dentais; Materiais de laboratório; Outros Materiais de consumo e descartáveis; Produtos para obturação dentária; Sistemas de,,3.0,,8.0,3.0,2,1,0,8.0,,
92,Aditek do Brasil,www.aditek.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,,,3.0,,0.0,3.0,2,1,0,8.0,,
8,BAUMER S.A.,www.baumer.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Anestesia; Sistemas de ventilação; Aparelhos respiratórios /Acessórios; Autoclaves; Dispositivos / Sistemas de monitoramento / Acessórios; Esterilizadores; Foco cirúrgico / Iluminação cirúrgica; Instr,,2.0,2.0,5.0,2.0,2,1,0,8.0,,
30,DMC IMPORTAÇÃO E EXPORTAÇÃO DE EQUIPAMENTOS LTDA,www.dmcgroup.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Aparelhos para cirurgia que operem por laser; Endoscópio; Equipamentos e aparelhos para dermatologia / estética; Equipamentos e aparelhos para reabilitação; Foco cirúrgico / Iluminação cirúrgica; Inst,,2.0,,2.0,2.0,2,1,0,8.0,,
39,FANEM LTDA,www.fanem.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Sistemas de ventilação; Aparelhos de oxigenoterapia; Aparelhos respiratórios /Acessórios; Autoclaves; Camas; Dispositivos / Sistemas de monitoramento / Acessórios; Esterilizadores; Incubadoras para be,,2.0,,2.0,2.0,2,1,0,8.0,,
45,H STRATTNER E CIA LTDA,www.strattner.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Anestesia; Aparelhos de oxigenoterapia; Aparelhos para cirurgia que operem por laser; Aparelhos para eletro diagnóstico; Autoclaves; Bisturis Elétricos; Bombas de infusão; Endoscópio; Equipamentos e a,,2.0,,2.0,2.0,2,1,0,8.0,,
52,IMPOL,www.impol.com.br,Implantes Ortopédicos,,,Tier 1,Google,Mapeado,,,,2.0,,8.0,2.0,3,1,0,9.0,,
53,Bone Surgical,bonesurgical.com.br,Implantes Ortopédicos,,,Tier 2,Google,Mapeado,,,,2.0,,0.0,2.0,2,1,0,8.0,,
32,DORJA INDÚSTRIA E COMÉRCIO DE EQUIPAMENTOS MÉDICOS LTDA,www.dorja.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Aparelhos de oxigenoterapia; Aparelhos respiratórios /Acessórios; Equipamentos e aparelhos para reabilitação; Esterilizadores; Foco cirúrgico / Iluminação cirúrgica; Instrumentos e aparelhos de oftalm,,1.0,,0.0,1.0,2,1,0,8.0,,
46,HANISCH MEDICAL LTDA,www.plasticoshanisch.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,Equipamentos e aparelhos para reabilitação,,1.0,,0.0,1.0,2,1,0,8.0,,
41,FRANCESCHI & COSTA E SILVA LTDA EPP - NACIONAL OSSOS,www.ossos.com.br,Implantes Odontológicos,,,2,ABIMO,Mapeado,,,,,,0.0,0.0,2,1,0,8.0,,
